bowler,over
DJ Bravo,193
SL Malinga,193
B Kumar,157
SP Narine,134
JJ Bumrah,122
UT Yadav,117
R Vinay Kumar,113
DW Steyn,103
Z Khan,103
P Kumar,102
SR Watson,99
RP Singh,91
MM Sharma,90
A Nehra,88
L Balaji,87
IK Pathan,86
A Mishra,83
JD Unadkat,82
CH Morris,82
RA Jadeja,81
JP Faulkner,80
R Ashwin,74
AB Dinda,71
PP Chawla,70
M Morkel,65
I Sharma,64
MJ McClenaghan,62
JH Kallis,60
DS Kulkarni,56
JA Morkel,55
S Kaul,55
Imran Tahir,54
B Lee,53
MG Johnson,52
MM Patel,52
SK Trivedi,52
Mohammed Shami,50
KA Pollard,50
Sandeep Sharma,49
PP Ojha,49
TA Boult,47
M Muralitharan,46
RJ Harris,46
Harbhajan Singh,45
AR Patel,45
KK Cooper,44
AD Russell,42
AJ Tye,42
NLTC Perera,41
DE Bollinger,40
YS Chahal,40
TG Southee,40
Mustafizur Rahman,39
R Bhatia,39
SN Thakur,38
J Archer,37
WD Parnell,36
DP Nannes,36
Mohammed Siraj,36
Azhar Mahmood,36
SK Warne,36
VR Aaron,35
Shakib Al Hasan,35
Rashid Khan,35
HH Pandya,35
MA Starc,34
DT Christian,33
K Rabada,32
AB Agarkar,31
HV Patel,31
A Kumble,30
A Singh,30
P Awana,29
DL Vettori,29
BA Stokes,28
P Krishna,27
SW Tait,27
AD Mathews,27
R Sharma,26
S Aravind,26
M Kartik,26
CH Gayle,25
Basil Thampi,25
SK Raina,24
S Sreesanth,24
NM Coulter-Nile,24
Harmeet Singh,23
SB Jakati,23
CR Woakes,23
PJ Sangwan,23
Anureet Singh,22
Kuldeep Yadav,21
Iqbal Abdulla,20
MS Gony,20
Yuvraj Singh,20
S Nadeem,20
PJ Cummins,20
AC Thomas,19
KW Richardson,18
A Ashish Reddy,18
JR Hopes,18
J Botha,18
VRV Singh,18
Sohail Tanvir,18
J Theron,17
MC Henriques,17
MF Maharoof,17
KH Pandya,17
BW Hilfenhaus,16
GB Hogg,16
RE van der Merwe,16
AN Ahmed,16
P Negi,15
R Dhawan,15
CJ Anderson,15
N Saini,15
BB Sran,15
YK Pathan,15
A Symonds,14
LR Shukla,14
CRD Fernando,14
R McLaren,14
BCJ Cutting,13
KV Sharma,13
JDP Oram,13
M Ashwin,13
MR Marsh,13
GD McGrath,13
PV Tambe,13
S Curran,13
S Sharma,13
A Mithun,13
B Laughlin,12
DR Smith,12
VY Mahesh,12
AS Rajpoot,12
M Ur Rahman,11
BA Bhatt,11
SB Styris,11
JP Duminy,11
CR Brathwaite,11
D Wiese,11
CJ Jordan,11
MP Stoinis,10
Mohammad Asif,10
DL Chahar,10
K Ahmed,10
L Ngidi,10
YA Abdulla,10
STR Binny,10
ST Jayasuriya,10
SJ Srivastava,9
K Paul,9
FH Edwards,9
S Gopal,9
Joginder Sharma,9
DJG Sammy,9
SE Bond,9
R Rampaul,9
H Gurney,9
B Akhil,9
BE Hendricks,9
MN Samuels,9
JE Taylor,9
DJ Hussey,9
BAW Mendis,9
T Thushara,8
CK Langeveldt,8
Pankaj Singh,8
L Plunkett,8
Umar Gul,8
A Zampa,8
RG Sharma,8
WPUJC Vaas,8
RS Bopara,7
L Ferguson,7
S Mavi,7
Anand Rajan,7
M Markande,7
H Viljoen,7
TS Mills,7
P Parameswaran,7
V Pratap Singh,7
RR Raje,7
S Ladda,6
Jaskaran Singh,6
IC Pandey,6
Shahid Afridi,6
Bipul Sharma,6
AF Milne,6
M Ntini,6
Kamran Khan,6
TM Dilshan,5
KMDN Kulasekara,5
R Sathish,5
AM Salvi,5
R Shukla,5
M de Lange,5
DP Vijaykumar,5
V Kohli,5
JD Ryder,5
AB McDonald,5
S Lamichhane,5
GJ Maxwell,5
AD Mascarenhas,5
Ankit Sharma,5
JEC Franklin,4
Shivam Sharma,4
Gagandeep Singh,4
S Kuggeleijn,4
Avesh Khan,4
Y Venugopal Rao,4
GS Sandhu,4
SM Harwood,4
PD Collingwood,4
A Choudhary,4
PC Valthaty,4
P Suyal,4
KJ Abbott,4
SMSM Senanayake,4
JO Holder,4
M Ali,4
TL Suman,4
Karanveer Singh,4
KP Pietersen,4
SB Bangar,4
TP Sudhindra,4
LJ Wright,4
S Kaushik,4
JJ van der Wath,4
RR Powar,4
WA Mota,4
AG Murtaza,4
R Tewatia,4
A Flintoff,4
AL Menaria,4
K Santokie,4
T Curran,4
V Sehwag,4
DNT Zoysa,3
RG More,3
S Randiv,3
DJ Hooda,3
J Syed Mohammad,3
RJ Peterson,3
P Sahu,3
AA Chavan,3
SM Boland,3
S Narwal,3
A Uniyal,3
V Shankar,3
Shoaib Malik,3
L Ablish,3
K Khejroliya,3
TM Head,3
T Shamsi,3
T Henderson,3
BJ Hodge,3
Mohammad Nabi,3
Shoaib Ahmed,3
SS Sarkar,3
AUK Pathan,3
Washington Sundar,3
KC Cariappa,3
C de Grandhomme,3
D Willey,3
KAJ Roach,3
P Amarnath,3
LMP Simmons,2
RD Chahar,2
AS Raut,2
SB Wagh,2
LH Ferguson,2
A Joseph,2
SC Ganguly,2
KP Appanna,2
SB Joshi,2
RV Gomez,2
I Sodhi,2
AJ Finch,2
MA Khote,2
M Santner,2
MK Tiwary,2
AP Dole,2
O Thomas,2
FY Fazal,2
ND Doshi,2
JW Hastings,2
CJ McKay,2
Mashrafe Mortaza,2
T Natarajan,2
S Tyagi,2
MJ Henry,2
MG Neser,2
VS Malik,2
AA Noffke,2
M Wood,2
S Rutherford,1
VS Yeligati,1
D Salunkhe,1
DJ Harris,1
D Kalyankrishna,1
S Rana,1
A Nel,1
SD Chitnis,1
Tejas Baroka,1
D du Preez,1
SM Pollock,1
DAJ Bracewell,1
SN Khan,1
Sachin Baby,1
AA Jhunjhunwala,1
SPD Smith,1
SR Tendulkar,1
J Suchith,1
R Ninan,1
AM Nayar,1
JM Kemp,1
C Nanda,1
P R Barman,1
B Stanlake,1
KM Asif,1
N Rana,1
CK Kapugedera,1
LPC Silva,1
R Salam,1
K Gowtham,1
A Chandila,1
RN ten Doeschate,1
AC Gilchrist,1
J Behrendorff,1
RS Gavaskar,1
Ankit Soni,1
S Dube,1
J Searles,1
DJ Muthuswami,1
S Badree,1
J Yadav,1
B Geeves,1
M Manhas,1
MJ Clarke,1
AC Voges,1
F du Plessis,1
LRPL Taylor,0
H Vihari,0
M Vijay,0
LA Carseldine,0
L Livingstone,0
M Lomror,0
C Munro,0
S Midhun,0
V Chakravarthy,0
A Dananjaya,0
BMAJ Mendis,0
BJ Rohrer,0
J Dala,0
Y Nagar,0
Y Gnaneswara Rao,0
JDS Neesham,0
D Short,0
Harmeet Singh (2),0
K Goel,0
K Upadhyay,0
C Ganapathy,0
MB Parmar,0
I Malhotra,0
KS Williamson,0
B Chipli,0
A Roy,0
Swapnil Singh,0
Sunny Gupta,0
R Parag,0
DB Ravi Teja,0
RA Shaikh,0
RA Tripathi,0
RR Bhatkal,0
RR Bose,0
CL White,0
RW Price,0
SA Yadav,0
SA Abbott,0
S Warrier,0
S Vidyut,0
DJ Thornely,0
S Sriram,0
S Dhawan,0
AA Kazi,0
AM Rahane,0
Parvez Rasool,0
Abdur Razzak,0
H Brar,0
Gurkeerat Singh,0
Shoaib Akhtar,0
GR Napier,0
Mandeep Singh,0
Mohammad Hafeez,0
NB Singh,0
PM Sarvesh Kumar,0
GH Vihari,0
SS Mundhe,0
SS Agarwal,0
NL McCullum,0
P Prasanth,0
P Raj,0
NJ Rimmington,0
