bowler,player_dismissed
SL Malinga,170
A Mishra,142
DJ Bravo,137
Harbhajan Singh,136
PP Chawla,133
R Vinay Kumar,125
A Nehra,121
Z Khan,119
B Kumar,117
R Ashwin,110
SP Narine,109
UT Yadav,107
P Kumar,102
DW Steyn,100
SR Watson,100
RP Singh,100
IK Pathan,99
PP Ojha,99
JA Morkel,96
MM Sharma,91
RA Jadeja,89
M Morkel,88
L Balaji,85
AB Dinda,82
R Bhatia,82
MM Patel,82
DS Kulkarni,81
JP Faulkner,76
Sandeep Sharma,76
JH Kallis,74
SK Trivedi,73
YS Chahal,72
KA Pollard,67
M Muralitharan,67
MG Johnson,64
CH Morris,62
AR Patel,61
JD Unadkat,60
SK Warne,60
I Sharma,59
MJ McClenaghan,56
KV Sharma,54
JJ Bumrah,53
SB Jakati,50
Imran Tahir,50
A Kumble,49
S Aravind,48
Shakib Al Hasan,48
RJ Harris,47
Iqbal Abdulla,45
YK Pathan,45
DE Bollinger,43
P Awana,43
S Sreesanth,43
MC Henriques,42
R Sharma,42
PJ Sangwan,41
VR Aaron,40
MA Starc,39
MS Gony,39
NM Coulter-Nile,39
S Nadeem,39
Yuvraj Singh,39
M Kartik,39
DP Nannes,38
NLTC Perera,37
HV Patel,37
KK Cooper,36
AD Russell,36
P Negi,34
DL Vettori,34
AB Agarkar,33
MF Maharoof,33
DT Christian,32
A Singh,31
WD Parnell,31
Azhar Mahmood,31
SK Raina,30
Harmeet Singh,30
B Lee,30
PV Tambe,28
AD Mathews,28
Mohammed Shami,27
DR Smith,27
J Botha,27
STR Binny,27
SW Tait,26
RE van der Merwe,25
GB Hogg,25
TG Southee,25
Sohail Tanvir,24
BW Hilfenhaus,23
S Kaul,23
A Symonds,23
JP Duminy,23
Bipul Sharma,22
WPUJC Vaas,22
VY Mahesh,22
KW Richardson,20
MR Marsh,20
R Dhawan,20
Anureet Singh,19
CH Gayle,19
Mustafizur Rahman,19
IC Pandey,19
Kuldeep Yadav,19
A Zampa,19
A Ashish Reddy,19
AD Mascarenhas,19
PJ Cummins,19
CRD Fernando,19
BJ Hodge,18
CR Woakes,18
Rashid Khan,18
LR Shukla,17
D Wiese,17
R Rampaul,17
KH Pandya,17
AC Thomas,16
TA Boult,16
RG Sharma,16
ST Jayasuriya,16
VRV Singh,16
RR Powar,15
SJ Srivastava,15
YA Abdulla,15
AN Ahmed,15
Basil Thampi,15
BB Sran,14
Umar Gul,14
Karanveer Singh,14
BA Stokes,14
DJG Sammy,14
SN Thakur,14
R McLaren,14
AB McDonald,14
JR Hopes,14
CJ Jordan,14
Kamran Khan,14
GD McGrath,14
JDP Oram,13
RS Bopara,13
SM Pollock,13
J Theron,13
Joginder Sharma,13
CK Langeveldt,13
BA Bhatt,13
V Pratap Singh,12
AJ Tye,12
AG Murtaza,12
Ankit Sharma,12
GJ Maxwell,12
SC Ganguly,12
MP Stoinis,11
S Badree,11
KP Appanna,11
JD Ryder,11
Pankaj Singh,11
