batsman,sixes
CH Gayle,261
SK Raina,173
RG Sharma,172
V Kohli,159
DA Warner,157
MS Dhoni,156
AB de Villiers,155
YK Pathan,149
KA Pollard,147
Yuvraj Singh,141
RV Uthappa,125
BB McCullum,123
SR Watson,122
DR Smith,117
V Sehwag,105
AC Gilchrist,92
M Vijay,89
GJ Maxwell,82
AT Rayudu,79
JP Duminy,78
NV Ojha,78
DA Miller,77
SE Marsh,77
KD Karthik,71
S Dhawan,70
MK Pandey,65
DJ Hussey,60
AM Rahane,60
AJ Finch,59
G Gambhir,57
SV Samson,57
WP Saha,57
RA Jadeja,57
JA Morkel,54
MEK Hussey,52
DJ Bravo,48
SS Tiwary,45
LRPL Taylor,45
JH Kallis,44
ML Hayden,44
LMP Simmons,44
BJ Hodge,43
SPD Smith,43
SC Ganguly,41
A Symonds,41
Harbhajan Singh,41
DPMD Jayawardene,40
KP Pietersen,40
MK Tiwary,39
F du Plessis,38
ST Jayasuriya,38
CL White,38
IK Pathan,38
Y Venugopal Rao,37
AD Russell,37
M Vohra,35
PA Patel,35
EJG Morgan,34
KM Jadhav,33
MA Agarwal,33
SS Iyer,32
HH Gibbs,31
CJ Anderson,30
RR Pant,30
SR Tendulkar,29
AD Mathews,29
STR Binny,29
S Badrinath,28
HH Pandya,28
R Dravid,28
AR Patel,28
MC Henriques,27
KK Nair,26
NLTC Perera,26
TL Suman,26
JC Buttler,26
KC Sangakkara,26
N Rana,25
TM Dilshan,24
KL Rahul,24
MS Bisla,23
CA Lynn,23
OA Shah,23
JP Faulkner,23
CH Morris,22
Q de Kock,21
SA Yadav,21
HM Amla,21
AM Nayar,20
PC Valthaty,20
DJ Hooda,20
KH Pandya,20
GJ Bailey,19
JD Ryder,19
DJG Sammy,18
Mandeep Singh,18
S Sohal,18
RA Tripathi,17
DT Christian,17
P Kumar,17
AL Menaria,17
RS Bopara,16
P Negi,16
LR Shukla,16
DB Das,16
PP Chawla,15
A Ashish Reddy,15
BA Stokes,15
RN ten Doeschate,15
Shakib Al Hasan,15
KV Sharma,14
MR Marsh,14
Ishan Kishan,13
R Bhatia,13
Azhar Mahmood,13
LA Pomersbach,13
PD Collingwood,13
SP Narine,12
MV Boucher,12
KS Williamson,11
AP Tare,11
JR Hopes,11
M Manhas,10
SA Asnodkar,10
BCJ Cutting,10
Bipul Sharma,9
GC Smith,9
Gurkeerat Singh,9
MF Maharoof,9
Y Nagar,9
JEC Franklin,9
DB Ravi Teja,9
K Goel,9
R Vinay Kumar,9
UBT Chand,9
B Lee,8
MS Gony,8
MD Mishra,8
SM Pollock,8
SM Katich,8
TM Head,8
RE van der Merwe,8
KK Cooper,8
CR Brathwaite,8
Kamran Akmal,8
MN Samuels,7
MG Johnson,7
S Anirudha,7
AS Raut,7
B Chipli,7
MJ Guptill,7
Misbah-ul-Haq,6
MJ McClenaghan,6
Shahid Afridi,6
SN Khan,6
CM Gautam,6
R Sathish,6
MJ Lumb,6
M Kaif,6
SK Warne,6
C de Grandhomme,6
P Dogra,5
SW Billings,5
DJ Harris,5
A Mishra,5
Sachin Baby,5
Umar Gul,5
JDP Oram,5
M Morkel,5
B Akhil,5
SL Malinga,5
AB Agarkar,5
AA Jhunjhunwala,5
J Botha,5
BJ Rohrer,5
AB McDonald,4
DJ Jacobs,4
Ankit Sharma,4
CA Pujara,4
PJ Cummins,4
MP Stoinis,4
VVS Laxman,4
MM Sharma,4
R Dhawan,4
NM Coulter-Nile,4
RE Levi,4
D Wiese,4
UT Yadav,3
YV Takawale,3
UT Khawaja,3
W Jaffer,3
RJ Quiney,3
LJ Wright,3
B Kumar,3
SB Bangar,3
SB Styris,3
AC Voges,3
S Vidyut,3
HV Patel,3
SP Fleming,3
DW Steyn,3
RJ Harris,3
R Sharma,3
RR Rossouw,3
AJ Tye,3
TG Southee,3
WPUJC Vaas,2
RT Ponting,2
R Bishnoi,2
R Rampaul,2
TR Birt,2
R Ashwin,2
PR Shah,2
VR Aaron,2
SP Goswami,2
Mohammed Shami,2
Mohammad Hafeez,2
Salman Butt,2
PA Reddy,2
Z Khan,2
Joginder Sharma,2
AP Majumdar,2
AUK Pathan,2
JO Holder,2
DH Yagnik,2
DJ Thornely,2
DL Chahar,2
J Suchith,2
AC Blizzard,2
DL Vettori,2
DS Kulkarni,2
ER Dwivedi,2
BB Samantray,2
A Flintoff,2
AS Yadav,2
CK Langeveldt,1
S Rana,1
SA Abbott,1
Rashid Khan,1
RV Gomez,1
Basil Thampi,1
RJ Peterson,1
RR Sarwan,1
RR Raje,1
RR Powar,1
RP Singh,1
DE Bollinger,1
R Tewatia,1
R McLaren,1
FY Fazal,1
GH Vihari,1
P Sahu,1
SD Chitnis,1
LPC Silva,1
SK Trivedi,1
BJ Haddin,1
A Choudhary,1
A Mithun,1
A Nehra,1
WD Parnell,1
Vishnu Vinod,1
VH Zol,1
V Shankar,1
AB Barath,1
TS Mills,1
AC Thomas,1
AD Mascarenhas,1
T Kohli,1
T Henderson,1
Sunny Singh,1
Sohail Tanvir,1
AN Ahmed,1
AP Dole,1
SW Tait,1
Anirudh Singh,1
Ankit Soni,1
Anureet Singh,1
BA Bhatt,1
Niraj Patel,1
I Sharma,1
CR Woakes,1
MA Khote,1
K Upadhyay,1
KJ Abbott,1
KC Cariappa,1
JJ Roy,1
M Rawat,1
MC Juneja,1
KB Arun Karthik,1
L Balaji,1
JJ Bumrah,1
JJ van der Wath,1
NL McCullum,1
JDS Neesham,1
M Kartik,1
Iqbal Abdulla,1
L Ronchi,1
KW Richardson,1
K Rabada,1
MN van Wyk,1
JM Kemp,1
Shoaib Akhtar,0
Sunny Gupta,0
AN Ghosh,0
Sandeep Sharma,0
Swapnil Singh,0
MA Starc,0
AG Paunikar,0
Shoaib Ahmed,0
Shoaib Malik,0
Shivam Sharma,0
MDKJ Perera,0
KP Appanna,0
IR Jaggi,0
KMDN Kulasekara,0
B Sumanth,0
BE Hendricks,0
SM Harwood,0
BB Sran,0
SMSM Senanayake,0
BAW Mendis,0
SN Thakur,0
SP Jackson,0
AR Bawne,0
B Laughlin,0
KAJ Roach,0
MJ Clarke,0
Abdur Razzak,0
Kamran Khan,0
AS Rajpoot,0
SS Shaikh,0
TA Boult,0
T Taibu,0
X Thalaivan Sargunam,0
VS Yeligati,0
A Uniyal,0
VY Mahesh,0
A Singh,0
WA Mota,0
M Klinger,0
A Mukund,0
Washington Sundar,0
Y Gnaneswara Rao,0
VRV Singh,0
A Kumble,0
YA Abdulla,0
M Ashwin,0
YS Chahal,0
LA Carseldine,0
Yashpal Singh,0
Younis Khan,0
A Chopra,0
VS Malik,0
A Zampa,0
T Thushara,0
Kuldeep Yadav,0
MM Patel,0
TD Paine,0
AG Murtaza,0
AF Milne,0
AD Nath,0
M de Lange,0
TM Srivastava,0
Karanveer Singh,0
U Kaul,0
L Ablish,0
UA Birla,0
AB Dinda,0
A Chandila,0
AA Noffke,0
AA Chavan,0
V Pratap Singh,0
AA Bilakhia,0
M Muralitharan,0
Jaskaran Singh,0
SE Bond,0
BMAJ Mendis,0
R Shukla,0
DT Patil,0
DS Lehmann,0
NJ Maddinson,0
ND Doshi,0
R Ninan,0
DR Martyn,0
DP Vijaykumar,0
DP Nannes,0
N Saini,0
Mohammad Ashraful,0
DNT Zoysa,0
DM Bravo,0
J Arunkumar,0
RD Chahar,0
Mohammad Nabi,0
J Syed Mohammad,0
RG More,0
DJ Muthuswami,0
NJ Rimmington,0
F Behardien,0
FH Edwards,0
Parvez Rasool,0
P Awana,0
NS Naik,0
I Malhotra,0
Harpreet Singh,0
P Parameswaran,0
Imran Tahir,0
Harmeet Singh,0
H Das,0
GR Napier,0
GD McGrath,0
PJ Sangwan,0
PM Sarvesh Kumar,0
GB Hogg,0
PP Ojha,0
PSP Handscomb,0
PV Tambe,0
Pankaj Singh,0
Mohammad Asif,0
J Theron,0
SJ Srivastava,0
CJ Ferguson,0
S Ladda,0
S Nadeem,0
S Narwal,0
S Randiv,0
CJ Jordan,0
S Sreesanth,0
S Sriram,0
S Tyagi,0
CA Ingram,0
DAJ Bracewell,0
C Nanda,0
C Munro,0
SB Jakati,0
SB Joshi,0
C Madan,0
SB Wagh,0
IC Pandey,0
BR Dunk,0
S Kaushik,0
S Kaul,0
S Gopal,0
CJ McKay,0
Mashrafe Mortaza,0
RR Bhatkal,0
D du Preez,0
J Yadav,0
JD Unadkat,0
D Salunkhe,0
MS Wade,0
D Kalyankrishna,0
RS Gavaskar,0
RS Sodhi,0
CRD Fernando,0
LH Ferguson,0
JE Taylor,0
S Aravind,0
S Badree,0
CK Kapugedera,0
S Chanderpaul,0
M Ntini,0
