bowler,noball_runs
S Sreesanth,27
I Sharma,21
A Mishra,20
SL Malinga,18
JA Morkel,18
JJ Bumrah,17
UT Yadav,16
SW Tait,14
AB Dinda,14
M Morkel,13
SR Watson,13
B Lee,13
RP Singh,13
MM Patel,11
R Vinay Kumar,10
SK Trivedi,9
JH Kallis,9
MG Johnson,9
A Nehra,9
A Mithun,9
MJ McClenaghan,8
CRD Fernando,8
NM Coulter-Nile,7
CR Brathwaite,7
KA Pollard,7
VY Mahesh,7
Sandeep Sharma,7
DW Steyn,7
Joginder Sharma,7
PJ Sangwan,6
DS Kulkarni,6
VR Aaron,6
Anureet Singh,6
Umar Gul,6
V Kohli,6
P Awana,6
JP Faulkner,5
BB Sran,5
B Kumar,5
A Kumble,5
M Kartik,5
WD Parnell,5
AN Ahmed,5
MS Gony,5
Azhar Mahmood,5
MF Maharoof,5
Y Nagar,4
VRV Singh,4
DP Nannes,4
P Suyal,4
DJ Bravo,4
MA Starc,4
Harmeet Singh,4
Jaskaran Singh,4
L Balaji,4
MM Sharma,4
DR Smith,4
NLTC Perera,3
S Tyagi,3
JO Holder,3
Harbhajan Singh,3
YS Chahal,3
R Shukla,3
AD Russell,3
BW Hilfenhaus,3
R McLaren,3
CH Gayle,3
CH Morris,3
R Dhawan,3
DT Christian,3
Mashrafe Mortaza,2
MR Marsh,2
R Bhatia,2
Mohammed Shami,2
R Rampaul,2
R Ashwin,2
PP Ojha,2
Z Khan,2
J Theron,2
M de Lange,2
DNT Zoysa,2
AB Agarkar,2
AC Thomas,2
B Akhil,2
C de Grandhomme,2
CJ Jordan,2
DE Bollinger,2
DJG Sammy,2
DP Vijaykumar,2
M Ntini,2
IC Pandey,2
JEC Franklin,2
JJ van der Wath,2
K Rabada,2
KC Cariappa,2
LR Shukla,2
M Muralitharan,2
RA Jadeja,2
A Ashish Reddy,2
WPUJC Vaas,2
SB Jakati,2
TG Southee,2
TL Suman,2
T Thushara,2
SP Narine,2
VS Malik,2
Anand Rajan,1
Yuvraj Singh,1
S Nadeem,1
AS Rajpoot,1
Kamran Khan,1
Mohammad Hafeez,1
SJ Srivastava,1
BE Hendricks,1
TP Sudhindra,1
V Sehwag,1
Mohammad Asif,1
SC Ganguly,1
KK Cooper,1
Abdur Razzak,1
MC Henriques,1
MG Neser,1
BAW Mendis,1
BA Bhatt,1
KJ Abbott,1
Sohail Tanvir,1
GB Hogg,1
FH Edwards,1
HH Pandya,1
HV Patel,1
Shahid Afridi,1
IK Pathan,1
Imran Tahir,1
Shoaib Malik,1
J Yadav,1
KH Pandya,1
JDP Oram,1
JE Taylor,1
D du Preez,1
D Wiese,1
JW Hastings,1
D Salunkhe,1
CK Langeveldt,1
KAJ Roach,1
AP Dole,1
GD McGrath,1
YA Abdulla,1
PP Chawla,1
A Singh,1
AD Mathews,1
RR Raje,1
A Symonds,1
RR Powar,1
P Parameswaran,1
WA Mota,1
P Kumar,1
PJ Cummins,1
S Aravind,1
S Kaul,1
Pankaj Singh,1
A Choudhary,1
S Ladda,1
RJ Harris,1
S Kaushik,1
CR Woakes,0
DB Ravi Teja,0
DJ Harris,0
