bowler,wide_runs
P Kumar,144
SL Malinga,143
DW Steyn,105
DJ Bravo,93
SR Watson,90
B Kumar,90
UT Yadav,90
Z Khan,89
RP Singh,89
R Ashwin,88
Harbhajan Singh,87
JA Morkel,85
I Sharma,84
DS Kulkarni,84
IK Pathan,79
KA Pollard,75
L Balaji,72
AB Dinda,72
M Morkel,71
PP Ojha,69
SW Tait,69
A Nehra,64
M Muralitharan,62
VR Aaron,62
PP Chawla,62
JH Kallis,62
MG Johnson,59
S Sreesanth,55
SK Trivedi,55
PJ Sangwan,50
JP Faulkner,50
A Mishra,50
R Vinay Kumar,49
RJ Harris,48
Mohammed Shami,48
MJ McClenaghan,48
RA Jadeja,47
DP Nannes,47
CH Gayle,46
WD Parnell,45
YK Pathan,43
M Kartik,42
CH Morris,41
SP Narine,41
Sandeep Sharma,41
B Lee,40
SK Warne,39
AB Agarkar,37
AR Patel,34
YS Chahal,34
MA Starc,33
DT Christian,33
R Bhatia,32
MS Gony,32
JP Duminy,32
S Aravind,31
SJ Srivastava,31
R Dhawan,31
KK Cooper,31
MC Henriques,31
TG Southee,29
Shakib Al Hasan,29
MM Sharma,29
Imran Tahir,29
Harmeet Singh,28
DE Bollinger,28
SB Jakati,27
A Kumble,26
AN Ahmed,26
Iqbal Abdulla,26
JJ Bumrah,25
RR Powar,25
AD Mathews,24
HV Patel,24
P Awana,23
AD Russell,23
S Nadeem,23
SK Raina,22
PJ Cummins,21
TA Boult,21
MF Maharoof,21
J Botha,19
R McLaren,19
DR Smith,19
PV Tambe,19
Sohail Tanvir,19
MM Patel,17
BB Sran,17
GB Hogg,17
A Symonds,17
S Kaul,16
NM Coulter-Nile,16
KH Pandya,16
SN Thakur,16
CJ Anderson,16
CJ Jordan,16
HH Pandya,16
Anureet Singh,16
RS Bopara,16
LR Shukla,16
A Singh,16
NLTC Perera,15
JD Unadkat,15
RG Sharma,15
Bipul Sharma,15
A Mithun,15
BW Hilfenhaus,15
ST Jayasuriya,15
P Negi,14
Ankit Sharma,14
STR Binny,14
Azhar Mahmood,14
VY Mahesh,14
Pankaj Singh,14
CR Woakes,14
GJ Maxwell,13
KW Richardson,13
AS Rajpoot,13
Anand Rajan,12
Umar Gul,12
YA Abdulla,12
K Rabada,12
RE van der Merwe,12
SM Harwood,12
J Theron,12
KV Sharma,12
D Wiese,11
Kuldeep Yadav,11
Yuvraj Singh,11
AF Milne,11
AM Nayar,11
Mustafizur Rahman,11
BA Stokes,11
CRD Fernando,11
AC Thomas,10
M de Lange,10
DJ Hooda,10
MR Marsh,10
S Badree,10
Joginder Sharma,10
Basil Thampi,10
Kamran Khan,10
KP Pietersen,10
AM Salvi,10
BE Hendricks,10
TS Mills,9
JO Holder,9
JR Hopes,9
MP Stoinis,9
BJ Hodge,9
FH Edwards,9
AG Murtaza,9
Karanveer Singh,9
J Suchith,9
LH Ferguson,9
A Zampa,8
DL Vettori,8
AA Chavan,8
KP Appanna,8
CK Langeveldt,8
A Ashish Reddy,8
WPUJC Vaas,8
RR Raje,8
R Rampaul,8
V Kohli,8
Y Venugopal Rao,8
S Tyagi,8
DJG Sammy,7
DJ Hussey,7
S Narwal,7
D Salunkhe,7
V Pratap Singh,7
BAW Mendis,7
BA Bhatt,7
Shoaib Malik,7
R Shukla,7
R Sharma,7
T Thushara,7
P Suyal,7
M Ashwin,7
SB Bangar,7
VRV Singh,7
SB Wagh,6
AP Dole,6
Mohammad Asif,6
T Natarajan,6
SB Styris,6
VS Yeligati,6
SD Chitnis,6
KJ Abbott,6
SE Bond,6
AUK Pathan,6
JDP Oram,6
PC Valthaty,6
Rashid Khan,6
JD Ryder,6
RN ten Doeschate,6
S Randiv,6
MN Samuels,6
A Choudhary,6
Mohammad Hafeez,6
VS Malik,5
CL White,5
S Kaushik,5
IC Pandey,5
B Akhil,5
DP Vijaykumar,5
Jaskaran Singh,5
TM Dilshan,5
R Sathish,5
DL Chahar,5
KC Cariappa,5
Abdur Razzak,5
KMDN Kulasekara,5
AA Noffke,5
SM Pollock,4
LJ Wright,4
J Syed Mohammad,4
Shahid Afridi,4
BCJ Cutting,4
P Parameswaran,4
AL Menaria,4
JE Taylor,4
Y Nagar,4
RD Chahar,4
Shoaib Akhtar,4
GD McGrath,4
Gurkeerat Singh,4
C de Grandhomme,4
SC Ganguly,3
CR Brathwaite,3
AD Mascarenhas,3
SMSM Senanayake,3
KAJ Roach,3
JDS Neesham,3
TP Sudhindra,3
JM Kemp,3
B Laughlin,3
L Ablish,3
Mohammed Siraj,3
Parvez Rasool,3
Ankit Soni,3
K Santokie,3
AA Jhunjhunwala,3
AB McDonald,2
AJ Tye,2
DJ Thornely,2
Sunny Gupta,2
C Nanda,2
Washington Sundar,2
D Kalyankrishna,2
B Stanlake,2
AC Voges,2
WA Mota,2
A Uniyal,2
MK Tiwary,2
SA Abbott,2
K Upadhyay,2
Mashrafe Mortaza,2
J Yadav,2
M Ntini,2
JEC Franklin,2
RG More,2
JJ van der Wath,2
R Tewatia,2
JW Hastings,2
P Sahu,2
S Ladda,2
BJ Rohrer,1
Shoaib Ahmed,1
Swapnil Singh,1
K Goel,1
PD Collingwood,1
PM Sarvesh Kumar,1
SR Tendulkar,1
AJ Finch,1
LA Carseldine,1
V Sehwag,1
LRPL Taylor,1
ND Doshi,1
NB Singh,1
AA Kazi,1
M Vijay,1
MB Parmar,1
SS Mundhe,1
B Geeves,1
DNT Zoysa,1
RV Gomez,1
S Dhawan,1
S Gopal,1
SM Boland,1
S Vidyut,1
Harmeet Singh (2),1
MJ Henry,1
DAJ Bracewell,1
GH Vihari,1
Tejas Baroka,0
V Shankar,0
LMP Simmons,0
LPC Silva,0
NJ Rimmington,0
DJ Harris,0
AC Gilchrist,0
GR Napier,0
SB Joshi,0
P Amarnath,0
NL McCullum,0
DJ Muthuswami,0
S Rana,0
TM Head,0
FY Fazal,0
M Manhas,0
N Rana,0
F du Plessis,0
S Sriram,0
Mohammad Nabi,0
MA Khote,0
A Nel,0
Y Gnaneswara Rao,0
MG Neser,0
A Flintoff,0
MJ Clarke,0
A Chandila,0
P Prasanth,0
RS Gavaskar,0
AM Rahane,0
I Malhotra,0
C Munro,0
C Ganapathy,0
SS Agarwal,0
SPD Smith,0
SS Sarkar,0
BMAJ Mendis,0
Sachin Baby,0
RR Bhatkal,0
RW Price,0
Shivam Sharma,0
RJ Peterson,0
CJ McKay,0
CK Kapugedera,0
RA Tripathi,0
DB Ravi Teja,0
RA Shaikh,0
SA Yadav,0
B Chipli,0
Avesh Khan,0
Gagandeep Singh,0
T Henderson,0
GS Sandhu,0
R Ninan,0
D du Preez,0
AS Raut,0
T Shamsi,0
KS Williamson,0
RR Bose,0
TL Suman,0
