batsman,batsman_runs
V Kohli,77
SK Raina,76
RG Sharma,68
DA Warner,67
RV Uthappa,65
S Dhawan,63
MS Dhoni,61
G Gambhir,58
AB de Villiers,56
CH Gayle,56
AM Rahane,55
KD Karthik,52
AT Rayudu,47
SR Watson,47
BB McCullum,44
YK Pathan,39
PA Patel,39
MK Pandey,37
SE Marsh,37
SR Tendulkar,37
M Vijay,36
Yuvraj Singh,36
V Sehwag,35
DR Smith,35
JH Kallis,34
R Dravid,32
KA Pollard,30
SPD Smith,30
SV Samson,30
MEK Hussey,28
F du Plessis,28
JP Duminy,28
KL Rahul,26
RR Pant,26
AC Gilchrist,26
SS Iyer,26
MK Tiwary,25
AJ Finch,23
S Badrinath,23
DA Miller,23
AD Russell,23
DPMD Jayawardene,23
KC Sangakkara,23
Q de Kock,22
SC Ganguly,21
KK Nair,21
BJ Hodge,21
KS Williamson,20
DJ Hussey,19
CA Lynn,19
WP Saha,18
Mandeep Singh,18
GJ Maxwell,18
TM Dilshan,17
ML Hayden,17
LMP Simmons,17
SS Tiwary,16
JC Buttler,16
MA Agarwal,16
M Vohra,15
DJ Bravo,15
CL White,15
KP Pietersen,15
AS Yadav,15
RA Jadeja,15
A Symonds,14
N Rana,14
KH Pandya,13
MC Henriques,12
HH Pandya,12
LRPL Taylor,11
SP Narine,11
Y Venugopal Rao,11
RA Tripathi,11
NV Ojha,11
HH Gibbs,11
KM Jadhav,11
EJG Morgan,10
Ishan Kishan,10
IK Pathan,10
ST Jayasuriya,10
STR Binny,10
GC Smith,9
JD Ryder,8
E Lewis,8
GJ Bailey,8
AD Mathews,8
Shakib Al Hasan,8
P Shaw,7
JA Morkel,7
BA Stokes,7
MP Stoinis,7
AR Patel,7
SA Asnodkar,7
J Bairstow,7
CJ Anderson,7
HM Amla,6
MS Bisla,6
V Shankar,6
AM Nayar,6
OA Shah,6
MV Boucher,6
RS Bopara,6
S Gill,6
Harbhajan Singh,6
JP Faulkner,6
S Sohal,6
TL Suman,6
SA Yadav,6
SN Khan,6
PC Valthaty,5
M Manhas,5
Azhar Mahmood,5
C de Grandhomme,5
DB Ravi Teja,5
AL Menaria,5
NLTC Perera,5
MJ Lumb,5
CH Morris,5
MJ Guptill,5
M Ali,4
VVS Laxman,4
CA Pujara,4
J Botha,4
TM Head,4
DJ Hooda,4
RN ten Doeschate,4
JR Hopes,4
SP Goswami,3
GH Vihari,3
A Hales,3
LR Shukla,3
SP Fleming,3
FY Fazal,3
SM Katich,3
PD Collingwood,3
JEC Franklin,3
Gurkeerat Singh,3
N Pooran,3
BJ Rohrer,3
P Negi,3
SW Billings,3
MR Marsh,3
UBT Chand,3
MN van Wyk,3
LA Pomersbach,3
R Parag,3
CM Gautam,3
LJ Wright,2
SM Pollock,2
JJ Roy,2
M Kaif,2
MN Samuels,2
S Vidyut,2
KV Sharma,2
MD Mishra,2
A Ashish Reddy,2
AB McDonald,2
Salman Butt,2
N Saini,2
C Munro,2
AP Tare,2
AC Voges,2
AC Blizzard,2
AS Raut,2
CR Brathwaite,2
R McLaren,2
BCJ Cutting,2
W Jaffer,2
D Short,2
BB Samantray,2
AP Majumdar,2
AA Jhunjhunwala,2
Niraj Patel,2
Ankit Sharma,2
DT Christian,2
YV Takawale,2
RE van der Merwe,2
UT Khawaja,2
A Mishra,2
DB Das,2
R Ashwin,2
B Chipli,2
DJ Harris,2
DH Yagnik,2
Misbah-ul-Haq,2
C Ingram,2
MC Juneja,1
P Dogra,1
KK Cooper,1
Anirudh Singh,1
K Rabada,1
RJ Quiney,1
AP Dole,1
P Kumar,1
S Hetmyer,1
Kamran Akmal,1
K Gowtham,1
S Curran,1
L Livingstone,1
LA Carseldine,1
AB Barath,1
AB Agarkar,1
PA Reddy,1
Washington Sundar,1
Y Nagar,1
S Anirudha,1
Rashid Khan,1
MF Maharoof,1
RR Sarwan,1
K Goel,1
SB Styris,1
RE Levi,1
Iqbal Abdulla,1
J Suchith,1
MS Gony,1
Mohammad Nabi,1
D Wiese,1
SD Chitnis,1
Sachin Baby,1
DJ Jacobs,1
DJ Thornely,1
HV Patel,1
DJG Sammy,1
R Singh,1
JDP Oram,1
Bipul Sharma,1
DL Chahar,1
SK Warne,1
H Klaasen,1
TG Southee,1
MJ Clarke,1
S Rutherford,1
Shahid Afridi,1
Parvez Rasool,0
RR Raje,0
Pankaj Singh,0
RR Rossouw,0
R Bhatia,0
RR Powar,0
RD Chahar,0
R Ninan,0
R Rampaul,0
R Salam,0
RJ Peterson,0
R Sathish,0
R Sharma,0
R Shukla,0
RP Singh,0
RR Bhatkal,0
R Dhawan,0
R Bishnoi,0
R Bhui,0
R Tewatia,0
R Vinay Kumar,0
RJ Harris,0
RG More,0
SJ Srivastava,0
RS Gavaskar,0
RS Sodhi,0
U Kaul,0
TS Mills,0
TR Birt,0
TM Srivastava,0
TD Paine,0
TA Boult,0
T Thushara,0
T Taibu,0
T Kohli,0
T Henderson,0
T Curran,0
Swapnil Singh,0
Sunny Singh,0
Sunny Gupta,0
Sohail Tanvir,0
