batsman,total_runs
CH Gayle,322
AB de Villiers,211
MS Dhoni,207
SK Raina,194
RG Sharma,193
V Kohli,190
DA Warner,179
SR Watson,178
KA Pollard,174
YK Pathan,161
RV Uthappa,156
Yuvraj Singh,149
BB McCullum,128
AT Rayudu,120
AD Russell,119
DR Smith,117
V Sehwag,105
KD Karthik,101
RR Pant,95
S Dhawan,95
AC Gilchrist,92
M Vijay,91
GJ Maxwell,91
SV Samson,89
DA Miller,86
KL Rahul,81
JP Duminy,79
NV Ojha,78
SE Marsh,77
MK Pandey,76
AM Rahane,74
HH Pandya,69
SS Iyer,67
AJ Finch,67
RA Jadeja,65
CA Lynn,63
JC Buttler,62
DJ Hussey,60
N Rana,60
DJ Bravo,60
WP Saha,59
F du Plessis,59
G Gambhir,58
Q de Kock,55
JA Morkel,54
MEK Hussey,52
MA Agarwal,52
PA Patel,49
SPD Smith,47
SP Narine,46
LRPL Taylor,45
SS Tiwary,45
LMP Simmons,44
ML Hayden,44
KS Williamson,44
JH Kallis,44
BJ Hodge,43
Harbhajan Singh,42
A Symonds,41
SC Ganguly,41
KP Pietersen,40
DPMD Jayawardene,40
MK Tiwary,40
KK Nair,39
M Vohra,39
CL White,38
KM Jadhav,38
IK Pathan,38
ST Jayasuriya,38
Y Venugopal Rao,37
KH Pandya,36
STR Binny,35
AR Patel,35
Ishan Kishan,34
EJG Morgan,34
Mandeep Singh,33
HH Gibbs,31
CJ Anderson,31
SR Tendulkar,29
AD Mathews,29
AS Yadav,28
S Badrinath,28
RA Tripathi,28
R Dravid,28
MC Henriques,27
TL Suman,26
CH Morris,26
NLTC Perera,26
E Lewis,26
KC Sangakkara,26
BA Stokes,25
TM Dilshan,24
V Shankar,24
DJ Hooda,24
JP Faulkner,23
M Ali,23
MS Bisla,23
OA Shah,23
Shakib Al Hasan,22
HM Amla,21
SA Yadav,21
PC Valthaty,20
AM Nayar,20
GJ Bailey,19
BCJ Cutting,19
P Shaw,19
JD Ryder,19
DT Christian,18
S Sohal,18
J Bairstow,18
MP Stoinis,18
C de Grandhomme,18
PP Chawla,18
DJG Sammy,18
P Kumar,17
AL Menaria,17
P Negi,16
LR Shukla,16
CR Brathwaite,16
RS Bopara,16
DB Das,16
A Ashish Reddy,15
RN ten Doeschate,15
S Gill,15
